price,bedrooms,sqft_living,floors,waterfront,view,condition,yr_built,grade
221900,3,1180,1,0,0,3,1955,7
538000,3,2570,2,0,0,3,1951,7
180000,2,770,1,0,0,3,1933,6
604000,4,1960,1,0,0,5,1965,7
510000,3,1680,1,0,0,3,1987,8
1225000,4,5420,1,0,0,3,2001,11
257500,3,1715,2,0,0,3,1995,7
291850,3,1060,1,0,0,3,1963,7
229500,3,1780,1,0,0,3,1960,7
323000,3,1890,2,0,0,3,2003,7
662500,3,3560,1,0,0,3,1965,8
468000,2,1160,1,0,0,4,1942,7
310000,3,1430,1.5,0,0,4,1927,7
400000,3,1370,1,0,0,4,1977,7
530000,5,1810,1.5,0,0,3,1900,7
650000,4,2950,2,0,3,3,1979,9
395000,3,1890,2,0,0,3,1994,7
485000,4,1600,1.5,0,0,4,1916,7
189000,2,1200,1,0,0,4,1921,7
230000,3,1250,1,0,0,4,1969,7
385000,4,1620,1,0,0,4,1947,7
2000000,3,3050,1,0,4,3,1968,9
285000,5,2270,2,0,0,3,1995,8
252700,2,1070,1,0,0,3,1985,7
329000,3,2450,2,0,0,4,1985,8
233000,3,1710,1.5,0,0,5,1941,6
937000,3,2450,2,0,0,3,1915,8
667000,3,1400,1.5,0,0,5,1909,8
438000,3,1520,1,0,0,3,1948,7
719000,4,2570,2,0,0,3,2005,8
580500,3,2320,2,0,0,3,2003,8
280000,2,1190,3,0,0,3,2005,7
687500,4,2330,1.5,0,0,4,1929,7
535000,3,1090,1.5,0,0,4,1929,8
322500,4,2060,1,0,0,3,1981,7
696000,3,2300,1.5,0,0,3,1930,8
550000,4,1660,1,0,0,1,1933,5
640000,4,2360,2,0,0,4,1904,8
240000,4,1220,1,0,0,2,1969,7
605000,4,2620,2,0,0,3,1996,8
625000,4,2570,2,0,0,3,2000,9
775000,4,4220,1,0,0,3,1984,8
861990,5,3595,2,0,0,3,2014,9
685000,3,1570,2,0,0,3,1922,7
309000,3,1280,1,0,0,4,1959,6
488000,3,3160,2,0,0,3,2003,8
210490,3,990,1,0,0,3,1966,6
785000,4,2290,2,0,0,4,1981,9
450000,3,1250,1,0,0,4,1953,7
1350000,3,2753,1,1,2,5,1953,9
228000,3,1190,1,0,0,3,1955,7
345000,5,3150,1,0,0,4,1966,8
600000,3,1410,1,0,0,4,1950,7
585000,2,1980,1,0,0,3,1981,7
920000,5,2730,1.5,0,0,3,1927,8
885000,4,2830,2,0,0,3,1995,9
292500,4,2250,2,0,0,3,2008,7
301000,3,2420,2,0,0,3,2003,8
951000,5,3250,2,0,4,4,1968,8
430000,4,1850,2,0,0,3,1991,8
650000,3,2150,1,0,3,4,1959,8
289000,3,1260,1,0,0,3,1954,7
505000,3,2519,2,0,0,5,1973,8
549000,3,1540,3,0,0,3,2014,8
425000,3,1660,1,0,0,3,1979,7
317625,3,2770,1.5,0,0,5,1925,7
975000,4,2720,2,0,0,3,1989,10
287000,4,2240,2,0,0,3,2005,7
204000,3,1000,1,0,0,4,1968,7
1325000,5,3200,1,0,0,3,1965,8
1040000,5,4770,1,0,0,4,1973,11
325000,3,1260,1,0,0,4,1972,7
571000,4,2750,1.5,0,0,5,1916,7
360000,4,2380,2,0,0,3,2005,8
349000,3,1790,1,0,0,5,1965,7
832500,4,3430,2,0,0,4,1986,10
380000,4,1760,1,0,0,3,1956,7
480000,3,1040,1,0,0,3,1941,7
410000,3,1410,1,0,0,4,1956,7
720000,4,3450,2,0,0,3,2002,10
390000,3,2350,2,0,0,3,2003,8
360000,4,1900,2,0,0,3,1992,7
355000,2,2020,1,0,0,3,1948,7
356000,3,1680,1,0,0,3,1964,8
315000,3,960,1,0,0,3,1952,6
940000,3,2140,2,0,0,3,1925,9
305000,5,2660,1.5,0,0,5,1961,7
461000,3,2770,2,0,0,3,2006,9
215000,2,1610,2,0,0,4,1979,7
335000,2,1030,2,0,0,3,2006,7
243500,4,1980,2,0,0,3,1988,7
1099880,5,3520,2,0,0,4,2001,10
153000,3,1200,1,0,0,3,1962,7
430000,3,1580,1,0,0,3,1939,8
700000,3,1580,1,0,0,3,1939,8
905000,4,3300,1,0,0,3,1946,7
247500,3,1960,1,0,0,3,1967,7
199000,4,1160,1,0,0,4,1975,7
314000,3,1810,1,0,0,5,1980,7
437500,3,2320,2,0,2,3,1992,9
850830,3,2070,1.5,0,0,5,1910,9
555000,3,1980,1.5,0,0,4,1929,7
699950,3,2190,2,0,0,4,1983,8
1088000,3,2920,2,0,0,3,1950,8
290000,3,1210,1,0,0,3,1954,7
375000,3,2340,1,0,0,4,1978,8
460000,3,1670,1.5,0,0,4,1939,7
188500,2,1240,1,0,0,4,1985,8
680000,4,3140,2,0,0,4,1991,10
470000,5,2030,2,0,0,4,1942,7
597750,4,2310,2,0,0,3,1984,8
570000,3,1260,1,0,0,5,1905,6
272500,3,1540,1,0,0,4,1980,7
329950,3,2080,1,0,2,3,1971,7
480000,4,3230,2,0,3,3,2001,9
740500,3,4380,2,0,0,3,1900,8
518500,3,1590,3,0,0,3,2010,8
205425,2,880,1,0,0,4,1945,6
171800,4,1570,1,0,0,3,1950,6
535000,4,1610,1.5,0,0,4,1925,7
660000,3,2400,1,0,2,3,1964,8
391500,3,1450,1,0,0,3,1987,7
395000,2,770,1,0,0,3,1953,6
445000,4,2100,1.5,0,0,5,1924,7
770000,3,2910,2,0,0,3,1990,9
1450000,4,2750,1.5,0,0,3,1914,8
445000,3,2100,1,0,2,3,1967,8
260000,4,2160,1,0,0,3,1978,8
822500,5,2320,2,0,0,5,1926,7
430000,4,2070,2,0,0,3,2004,7
212000,3,1060,1,0,0,4,1986,7
660500,4,2010,1,0,0,3,1986,8
784000,3,3950,1.5,0,0,3,1989,9
453246,3,2010,2,0,0,3,2014,8
675000,4,2140,3,0,0,3,2005,9
199000,3,1320,1,0,0,4,1956,7
220000,4,2020,1,0,0,3,1968,7
452000,4,2590,1,0,0,4,1968,8
382500,2,1190,1,0,0,3,1981,6
519950,3,1170,3,0,0,3,2014,8
665000,2,1110,1,0,0,3,1925,7
527700,5,2820,1,0,0,4,1968,8
205000,3,1610,1,0,0,4,1962,7
420000,3,1060,1,0,0,4,1923,7
500000,4,2030,1,0,0,4,1961,8
921500,4,3670,2,0,0,4,1994,9
890000,4,2550,2,0,0,3,1905,8
430000,2,2420,2,0,0,3,2007,7
258000,5,2260,1,0,0,4,1960,8
511000,3,1430,1,0,0,3,1947,7
532170,3,1360,2,0,0,3,1990,8
560000,3,1110,1.5,0,0,3,1947,7
282950,3,1250,1,0,0,4,1954,7
2250000,4,5180,2,0,3,3,2006,12
350000,1,700,1,0,0,3,1942,7
215000,3,1180,1,0,0,4,1967,7
650000,5,3960,2,0,0,3,1996,9
320000,4,2640,1,0,0,3,1967,8
247000,3,1270,1.5,0,0,3,1916,7
320000,4,1760,1,0,0,4,1968,8
255000,5,2060,1,0,0,3,1962,7
438000,3,1780,1,0,0,3,1962,7
900000,3,3400,2,0,0,3,2000,10
441000,3,1910,1,0,0,3,1979,7
420000,3,2020,1,0,0,4,1975,7
